variety_name,summary,stature,leaf_tip_color,bean_size,yield_potential,quality_potential_at_high_altitude,optimal_altitude,coffee_leaf_rust,nematode,coffee_berry_disease,year_of_first_production,nutrition_requirement,ripening_of_fruit,cherry_to_green_bean_outturn,planting_density,additional_argonomic_information,type,genetic_description,lineage,breeder,id
Anacafe 14,"Very high yielding variety, with rust resistance and good quality at elevations above 1300 meters. Variety not uniform.",Dwarf/Compact,Green,Very Large,High,Good,"Medium , High",Resistant,Susceptible,Susceptible,Year 2,High,Late,High,4000-5000 plants/ha (using single-stem pruning),Anacafe 14 is drought tolerant. Anacafe 14 is not uniform; plants are not stable from one generation to the next.,Arabica,Introgressed (Catimor related),(Timor Hybrid 832/1 x Caturra) x Pacamara,National Coffee Association of Guatemala (ANACAFE_) ,1
Batian,"A tall variety that combines high yields, tolerance to coffee leaf rust, resistance to coffee berry disease, and good cup quality.",Tall,Green or Bronze,Very Large,High,Very Good,Low,Tolerant,Susceptible,Resistant,Year 2,Medium,Unknown,High,2000-3000 plants/ha (using multiple-stem pruning),"Well-adapted for smallholders because of its rare combination of being a tall variety with disease resistance and resillience (e.g., can cope with low management and adverse environmental conditions).",Arabica,Introgressed (Other),"SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid","Coffee Research Foundation (now Kenya Agricultural and Livestock Research Organization, KALRO)",2
Bourbon,"One of the most culturally and genetically important C. arabica varieties in the world, known for excellent quality in the cup at the highest altitudes.",Tall,Green,Average,Medium,Very Good,High,Susceptible,Susceptible,Susceptible,Year 4,Medium,Early,Average,3000-4000 plants/ha (using single-stem pruning),,Arabica,Bourbon-Typica group (Bourbon related),Bourbon-like genetic background,None,3
Bourbon Mayaguez 139,Vigorous and highly productive tall variety with very good cup quality. Found commonly in Rwanda and Burundi.,Tall,Bronze,Large,High,Very Good,High,Susceptible,Unknown,Susceptible,Year 3,Medium,Average,Average,2000-3000 plants/ha (using multiple-stem pruning),,Arabica,Bourbon-Typica group (Bourbon related),Bourbon-like genetic background,Rwanda Agricultural Board (RAB),4
Bourbon Mayaguez 71,"Moderate yield, good cup potential, and susceptible to major diseases. Adapted for medium altitudes. Found commonly in Rwanda and Burundi.",Tall,Bronze,Large,Medium,Good,"Medium , High",Susceptible,Unknown,Susceptible,Year 3,Medium,Unknown,Average,1000-2000 plants/ha (using single-stem pruning),,Arabica,Bourbon-Typica group (Bourbon related),Bourbon-like genetic background,Rwanda Agricultural Board (RAB),5
Caripe,Very good cup quality with large beans. An important regional variety in Monagas state in northeastern Venezuela. ,Tall,Green,Large,Medium,Very Good,"Medium , High",Susceptible,Susceptible,Susceptible,Year 3,Medium,Average,Average,2000-3000 plants/ha (using multiple-stem pruning),Highly adapted for commercial production in Monagas State in northeastern Venezuela. ,Arabica,Bourbon-Typica group (Typica related),A selection of the Typica variety. ,Gustavo Buonafina Parra ,6
Casiopea,"High yielding variety, with exceptional quality at elevations above 1300 meters.",Dwarf/Compact,Bronze,Large,High,Exceptional,High,Susceptible,Susceptible,Susceptible,Year 3,High,Average,Very High,4000-5000 plants/ha (using single-stem pruning),"An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Arabica,F1 hybrid (not introgressed),"Caturra x Ethiopian wild accession ""ET41"" (CATIE collection)",CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE,7
Catimor 129,"High yielding/Dwarf/Compact variety resistant to coffee leaf rust and coffee berry disease. Found commonly in Malawi, Zambia, and Zimbabwe.",Dwarf/Compact,Green,Large,Very High,Good,High,Resistant,Susceptible,Resistant,Year 2,High,Average,Average,3000-4000 plants/ha (using single-stem pruning),Requires careful management to maximize yield without overbearing.,Arabica,Introgressed (Catimor related),Selection of a Catimor breeding line from Colombia (Caturra x Timor Hybrid 1343),Cenicafe,8
Catisic,Adapted to warmest zones and acidic soils. High yielding.,Dwarf/Compact,Bronze,Average,High,Very Low,"Low , Medium",Resistant,Susceptible,Susceptible,Year 3,High,Average,Low,5000-6000 plants/ha (using single-stem pruning),Susceptible to Ojo de Gallo. Adapted to warmest zones and acidic soils.,Arabica,Introgressed (Catimor related),Timor Hybrid 832/1 x Caturra,Instituto Salvadore,9
Catuai,A compact plant with high yielding potential of standard quality in Central America. Very high susceptibility to coffee leaf rust.,Dwarf/Compact,Green,Average,Good,Good,High,Susceptible,Susceptible,Susceptible,Year 3,High,Average,Average,5000-6000 plants/ha (using single-stem pruning),,Arabica,Bourbon-Typica group (Typica and Bourbon related),Mundo Novo x Caturra,"Instituto Agronômico (IAC), Brazil",10
Caturra,A compact plant with good yielding potential of standard quality in Central America. Very high susceptibility to coffee leaf rust.,Dwarf/Compact,Green,Average,Good,Good,High,Susceptible,Susceptible,Susceptible,Year 3,High,Average,Average,5000-6000 plants/ha (using single-stem pruning),,Arabica,Bourbon-Typica group (Bourbon related),Natural mutation of the Bourbon variety,"Instituto Agronômico (IAC), Brazil",11
Centroamericano ,"Very high yielding with very good quality potential if planted in healthy soil and at elevations >1300 meters, with resistance to rust. Well-adapted for agroforestry. ",Dwarf/Compact,Green,Large,Very High,Very Good,"Low , Medium , High",Resistant,Susceptible,Tolerant,Year 2,Very High,Average,Very High,3000-4000 plants/ha (using single-stem pruning),"May have difficulty establishing roots in the first two years. Requires careful nutrition for roots to become established, avoiding too much nitrogen (N). An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Arabica,F1 hybrid (introgressed),T5296 x Rume Sudan ,CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE ,12
Costa Rica 95 ,High yielding variety adapted to warmest zones and acidic soils. ,Dwarf/Compact,Bronze,Average,High,Low,"Low , Medium",Susceptible,Susceptible,Susceptible,Year 3,High,Average,Average,5000-6000 plants/ha (using single-stem pruning),"Recently, Costa Rica 95 has been confirmed through scientific evaluation to be susceptible to coffee leaf rust in Costa Rica and may also be susceptible in other areas of Central America. Susceptible to Ojo de Gallo. Recommended for acidic soils and soils rich in aluminum. Recommended for warmest zones.",Arabica,Introgressed (Catimor related),Timor Hybrid 832/1 x Caturra,Instituto del Cafe_ de Costa Rica (ICAFE) ,13
Cuscatleco ,Well-adapted to medium altitudes. Resistant to coffee leaf rust and some nematodes. ,Dwarf/Compact,Green,Large,Good,Good,"Low , Medium",Resistant,Resistant,Unknown,Year 3,High,Average,High,5000-6000 plants/ha (using single-stem pruning),Nematode resistance: Not resistant to Pratylenchus spp. It is resistant to Meloidogyne exigua.,Arabica,Introgressed (Sarchimor related),Selection of T5296,Fundacio_n Salvadoreña para Investigaciones del Café (PROCAFÉ)  an,14
Esperanza ,"Variety with very high productivity, tolerance to rust, and very good quality. Excellent adaptation to humid environments. ",Dwarf/Compact ,Green ,Large,Very High,Very Good,"Low , Medium , High",Tolerant,Tolerant,Tolerant,Year 2,High,Average,Very High,3000-4000 plants/ha (using single-stem pruning),"Excellent adaptation to humid environments. An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Arabica,F1 hybrid (introgressed) ,"T5296 x Ethiopian Local Variety accession ""ET25"" (from the CATIE collection) ",CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE ,15
Evaluna ,Very high yielding variety at elevations at high altitudes. ,Dwarf/Compact ,Light Bronze,Large,High,Very Good,High,Susceptible,Susceptible,Tolerant,Year 2,High,Average,Very High,4000-5000 plants/ha (using single-stem pruning),"May have difficulty establishing roots in the first two years due to an imbalance between root growth and aerial parts. Requires careful nutrition for the roots to become properly established; avoid excess of nitrogen. An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Arabica,F1 hybrid (introgressed),"Naryelis (Catimor) x Ethiopian landrace accession ""ET06"" (CATIE collection) ",CIRAD-ECOM ,16
Fronton ,Early production and high yielding plant resistant to coffee leaf rust. Well- adapted to low and medium altitudes. Found primarily in Puerto Rico. ,Dwarf/Compact ,Green or Bronze,Average,Good,Good,"Low , Medium",Resistant,Unknown,Unknown,Year 2,High,Average,High,3000-4000 plants/ha (using single-stem pruning),Variety not homogenous; presents a non-specified amount of segregation in the field. Susceptible to coffee leaf miner.,Arabica,Introgressed (Catimor related) ,Timor Hybrid x Caturra,None ,17
Geisha (Panama),"Panamanian Geisha has exceptionally high quality at high altitudes. The term ""Geisha"" is often applied to other coffees that do not share the distinct genetics of Panamanian Geisha. Geisha is also cultivated widely in Malawi. coffees that do not share the distinct genetics of Panamanian Geisha. Geisha is also cultivated widely in Malawi.",Tall,Green or Bronze,Average,Medium,Exceptional,High,Tolerant,Susceptible,Susceptible,Year 4,Medium,Average,Average,3000-4000 plants/ha (using single-stem pruning),,Arabica,Ethiopian landrace,Ethiopian landrace,None,18
H3,"High yielding variety, with very good quality at elevations above 1300 meters.",Dwarf/Compact,Green,Large,High,Very Good,High,Susceptible,Susceptible,Susceptible,Year 3,High,Average,Very High,3000-4000 plants/ha (using single-stem pruning),"Stature is intermediate between Dwarf/Compact and tall. An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Arabica,F1 hybrid (not introgressed),"Caturra x Ethiopian landrace accession ""E531'' (CATIE collection)",CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE,19
Harar Rwanda,"High yielding with very good cup quality potential, but susceptible to the major diseases and prone to die back. This is the Harar variety sometimes found in Rwanda (no longer recommended by Rwandan coffee authorities because of its short productive life) ",Tall,Dark Bronze,Average,High,Very Good,"Medium , High",Susceptible,Unknown,Susceptible,Year 2,Medium,Average,Average,2000-3000 plants/ha (using multiple-stem pruning),"Many varieties or populations share the name Harar, but are not necessarily the same. This is the Harar variety sometimes found in Rwanda. It is no longer recommended by the Rwandan coffee authorities because of its short productive life.",Arabica,Bourbon-Typica group (Typica related),"Typica-like genetic background, introduced to Rwanda in 1956.",Rwanda Agricultural Board (RAB),20
IAPAR 59,High yielding plant adapted to medium altitudes. Resistant to coffee leaf rust and some nematodes. ,Dwarf/Compact,Light Bronze,Average,Good,Low,"Low , Medium",and some nematodes.,Resistant,Susceptible,Year 3,High,Average,High,5000-6000 plants/ha (using single-stem pruning),Nematodes: Not resistant to Pratylenchus spp. It is resistant to Meloidogyne exigua.,Arabica,Introgressed (Sarchimor related),Timor Hybrid 832/2 x Villa Sarchi,"Instituto Agrono_mico do Paraná (IAPAR), Brazil  ",21
IHCAFE 90,High yielding plant adapted to lowest altitudes. Requires high fertilization. ,Dwarf/Compact,Dark Bronze,Average,High,Very Low,"Low , Medium",Susceptible,Susceptible,Susceptible,Year 2,Very High,Average,Low,4000-5000 plants/ha (using single-stem pruning),"Recently, IHCAFE 90 has been confirmed through scientific evaluation to be susceptible to coffee leaf rust in Honduras and maybe possibly also be susceptible in other areas of Central America. Highly susceptible to Ojo de Gallo.",Arabica,Introgressed (Catimor related),Timor Hybrid 832/1 x Caturra,Instituto Honduren_o del Café (IHCAFÉ) p,22
Jackson 2/1257,Very vigorous and highly productive. Found commonly in Rwanda and Burundi.,Tall,Bronze,Large,High,Good,"Medium , High",Susceptible,Unknown,Susceptible,Year 3,Medium,Unknown,Average,1000-2000 plants/ha (using single-stem pruning),,Arabica,Bourbon-Typica group (Bourbon related),A selection of Jackson. Bourbon-like genetic background.,Rwanda Agricultural Board (RAB),23
Java,"High quality in Central America. Tolerant to major diseases, with low fertilizer requirement. Good choice for smallholder farmers. ",Tall,Bronze,Large,Medium,Very Good,High,Tolerant,Susceptible,Tolerant,Year 3,Low,Average,Average,3000-4000 plants/ha (using single-stem pruning),,Arabica,Ethiopian landrace,Ethiopian landrace,None,24
K7,Tolerant to coffee leaf rust and coffee berry disease. Found primarily in Kenya and Tanzania.,Tall,Light Bronze,Large,High,Good,"Low , Medium",Tolerant,Susceptible,Tolerant,Year 3,Medium,Unknown,High,1000-2000 plants/ha (using single-stem pruning),K7 is distinguished by its spreading habit on young laterals although older primaries tend to droop. It has characteristic medium to narrow leaves with young shoot-tips that are light bronze in color. It is suited for lower altitudes where coffee leaf rust is prevalent.,Arabica,Bourbon-Typica group (Bourbon related),Selected from French Mission. Bourbon-like genetic background.,Individual farmer selection: R.H. Walker in Kenya in 1936,25
KP423,Tolerant of drought and coffee leaf rust but highly susceptible to coffee berry disease. Found mostly in Uganda. ,Tall,Light Bronze,Average,High,Low,Medium,Tolerant,Susceptible,Susceptible,Year 3,Medium,Unknown,Average,1000-2000 plants/ha (using single-stem pruning),Drought tolerant. Some tolerance to White Stem Borer has been documented.,Arabica,Bourbon-Typica group (Bourbon related),A selection of Kent. Likely Bourbon-like genetic background.,"Lyamungu Research Station, Tanzania",26
Lempira,High yielding variety adapted to warmest zones and acidic soils. ,Dwarf/Compact,Bronze,Average,High,Low,"Low , Medium",Susceptible,Susceptible,Susceptible,Year 3,High,Average,Low,5000-6000 plants/ha (using single-stem pruning),"Recently, Lempira has been confirmed through scientific evaluation to be susceptible to coffee leaf rust in Honduras and maybe possibly also be susceptible in other areas of Central America. Susceptible to Ojo de Gallo. Recommended for acidic soils and soils rich aluminium. Recommended for warmest zones.",Arabica,Introgressed (Catimor related),Timor Hybrid 832/1 x Caturra,Instituto Honduren_o del Café (IHCAFÉ) p,27
Limani,An elusive Puerto Rican variety.,Dwarf/Compact,Bronze,Average,Good,Good,"Low , Medium",Resistant,Unknown,Unknown,Year 3,High,Average,High,5000-6000 plants/ha (using single-stem pruning),"""True"" Limani is very difficult to find because of issues with genetic traceability dating to its original release in Puerto Rico. Consequently, plants identified as Limani rarely match the original reference. This doesn’t necessarily mean that plants identified as Limani won’t perform well, only that it is difficult to predict performance, for example, or resistance to coffee leaf rust. True Limani is supposed to be well adapted to medium altitudes (above 1000 m) and rust resistant.",Arabica,Introgressed (Sarchimor related),Timor Hybrid 832/2 x Villa Sarchi,"Unknown, in Puerto Rico",28
Maragogipe,"Good to very good cup quality in Central America, but highly susceptible to rust. Very low yielding, large leaves and large internodes. ",Tall,Bronze,Very Large,Low,Very Good,High,Susceptible,Susceptible,Susceptible,Year 4,Low,Average,Very High,3000-4000 plants/ha (using single-stem pruning),"Due to the low productivity of Maragogipe, Pacamara is considered a better option. Maragogipe beans are especially large, and the plant also has unusually large spacing between internodes and leaf size.",Arabica,Bourbon-Typica group (Typica related),A natural mutation of Typica,None,29
Marsellesa,High yielding plant adapted to medium altitudes. Notably high acidity in the cup. ,Dwarf/Compact,Green,Average,High,Good,"Low , Medium",Resistant,Susceptible,Tolerant,Year 3,High,Average,High,5000-6000 plants/ha (using single-stem pruning),,Arabica,Introgressed (Sarchimor related),Timor Hybrid 832/2 x Villa Sarchi CIFC 971/10,CIRAD-ECOM,30
Mibirizi,"Exceptional cup quality and drought tolerant, but highly susceptible to major diseases. Important variety for smallholder coffee growers in Rwanda and Burundi. ",Tall,Green or Bronze,Large,Good,Exceptional,High,Susceptible,Unknown,Susceptible,Year 3,Low,Unknown,Average,1000-2000 plants/ha (using single-stem pruning),"Drought tolerant and resilient (e.g., can cope with low management and adverse environmental conditions).",Arabica,Bourbon-Typica group (Typica related),Likely Typica-like genetic background.,None,31
Milenio,"Very high-yielding variety, with rust resistance and good quality at elevations above 1300 meters. Variety not uniform. ",Dwarf/Compact,Green,Large,Very High,Very Good,"Medium , High",Resistant,Susceptible,Tolerant,Year 2,Unknown,Average,Very High,4000-5000 plants/ha (using single-stem pruning),"An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Arabica,F1 hybrid (introgressed),T5296 x Rume Sudan,CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE,32
Monte Claro,"Compact variety with very good cup quality and large beans, tolerance to coffee leaf rust and nematodes, and high yield potential. An important regional variety in Venezuela. ",Dwarf/Compact,Bronze,Very Large,High,Very Good,Medium,Tolerant,Tolerant,Susceptible,Year 2,High,Average,High,5000-6000 plants/ha (using single-stem pruning),Monte Claro is a cultivar that can tolerate significant levels of aluminum in the soil and weather variation. It grows very well in medium shade. It is highly adapted to different conditions and geographic regions of Venezuela.,Arabica,Introgressed (Sarchimor related),Timor Hybrid 832/2 x Villa Sarchi CIFC 971/11,Instituto Nacional de Investigaciones Agri_colas (INIA)-Venezula ,33
Mundo Maya,"Very high yielding variety if planted in healthy soil, with very good quality at elevations above 1300 meters. Well-adapted to agroforestery conditions. ",Dwarf/Compact,Bronze,Large,High,Very Good,"Medium , High",Resistant,Resistant,Tolerant,Year 2,High,Average,Very High,4000-5000 plants/ha (using single-stem pruning),"Nematodes: Variety not resistant to Pratylenchus spp. Is resistant to some Meloidogyne spp. An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Arabica,F1 hybrid (introgressed),"T5296 x wild Ethiopian accession ""ET01"" (CATIE collection)",CIRAD-ECOM,34
Mundo Novo,"A vigorous and productive plant with good quality cup but susceptible to major diseases. Grown widely in South America, but rarely in Central America and the Caribbean. ",Tall,Green or Bronze,Average,High,Good,High,Susceptible,Susceptible,Susceptible,Year 3,High,Average,Average,3000-4000 plants/ha (using single-stem pruning),"In Peru, recommended elevation is >1500m.",Arabica,Bourbon-Typica group (Typica and Bourbon related),Typica x Bourbon,"Instituto Agronômico de Campinas (IAC), Brasil",35
Nayarita,High yielding variety at high altitudes with very good cup quality.,Dwarf/Compact,Dark Bronze,Large,High,Very Good,High,Susceptible,Susceptible,Tolerant,Year 2,High,Average,Very High,3000-4000 plants/ha (using single-stem pruning),,Arabica,F1 hybrid (introgressed),"Naryelis (Catimor) x wild Ethiopian accession ""ET26"" (CATIE collection)",CIRAD-ECOM,36
Nemaya (Coffea canephora),A Robusta variety used for rootstock grafting because of its high resistance to nematodes. Arabica plants (any variety) can be grafted onto Nemaya roostock to make the plant resistant to nematodes. ,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Resistant,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,,,Arabica,,C. canephora T3561 x C. canephora T3751,PROMECAFE-CIRAD-CATIE,37
Nyasaland,"Good cup quality, but susceptible to major diseases. Preferred by smallholder farmers in Uganda. ",Tall,Light Bronze,Average,Good,Good,"Medium , High",Susceptible,Unknown,Susceptible,Year 3,Low,Unknown,Average,1000-2000 plants/ha (using single-stem pruning),"Resilient variety (e.g., can cope with low management and adverse environmental conditions).",Arabica,Bourbon-Typica group (Typica related),Likely Typica-like genetic background.,None,38
Obata (Red),"A high yielding, rust-resistant Brazilian variety recently introduced to Costa Rica.",Dwarf/Compact,Green,Large,High,Good,"Low , Medium",Resistant,Unknown,Unknown,Year 3,High,Late,Unknown,5000-6000 plants/ha (using single-stem pruning),,Arabica,Introgressed (Sarchimor related),Timor Hybrid 832/2 x Villa Sarchi CIFC 971/10,"Instituto Agronômico (IAC), Brazil",39
Oro Azteca,Adapted to warmest zones and acidic soils. High yielding.,Dwarf/Compact,Green,Average,High,Good,"Low , Medium",Resistant,Susceptible,Susceptible,Year 3,High,Average,Average,5000-6000 plants/ha (using single-stem pruning),,Arabica,Introgressed (Catimor related),Timor Hybrid 832/1 x Caturra,"Instituto Nacional de Investigaciones Forestales, Agr√≠colas y Pecuarias (INIFAP), Mexico",40
Pacamara,Capable of producing exceptional cup quality. Very high susceptibility to coffee leaf rust. Variety not uniform; plants are not stable from one generation to the next. ,Dwarf/Compact,Green or Bronze,Very Large,Good,Exceptional,High,Susceptible,Susceptible,Susceptible,Year 3,Medium,Average,Average,5000-6000 plants/ha (using single-stem pruning),Pacamara is not homogeneous; plants are not stable from one generation to the next.,Arabica,Bourbon-Typica group (Typica and Bourbon related),Pacas x Maragogipe,Instituto Salvadoreño de Investigaciones del Café (ISIC),41
Pacas,Standard quality in Central America. Very high susceptibility to coffee leaf rust. ,Dwarf/Compact,Green,Average,Good,Good,High,Susceptible,Susceptible,Susceptible,Year 3,Medium,Average,Average,5000-6000 plants/ha (using single-stem pruning),,Arabica,Bourbon-Typica group (Bourbon related),A natural mutation of Bourbon.,Instituto Salvadoreño de Investigaciones del Café (ISIC),42
Pache,"A compact plant with medium yield and good quality, but highly susceptible to major diseases. ",Dwarf/Compact,Bronze,Large,Medium,Good,High,Susceptible,Susceptible,Susceptible,Year 4,Medium,Average,Average,5000-6000 plants/ha (using single-stem pruning),,Arabica,Bourbon-Typica group (Typica related),A natural mutation of Typica.,None,43
Parainema,"Well-adapted to medium altitudes, resistant to coffee leaf rust and some nematodes. ",Dwarf/Compact,Green,Large,Good,Good,"Low , Medium",Resistant,Resistant,Tolerant,Year 3,High,Average,High,5000-6000 plants/ha (using single-stem pruning),Nematodes: Not resistant to¬†Pratylenchus spp.¬†Is resistant to some¬†Meloidogyne spp.,Arabica,Introgressed (Sarchimor related),Selection of T5296,Instituto Honduren_o del Café (IHCAFÉ)hu,44
Pop3303/21,"High yielding with tolerance to drought, coffee leaf rust, and coffee berry disease. Adapted to a wide range of ecosystems. Found mostly in Rwanda. ",Tall,Bronze,Average,High,Good,"Medium , High",Resistant,Unknown,Tolerant,Year 2,High,Unknown,Average,2000-3000 plants/ha (using multiple-stem pruning),Drought tolerant. Significantly prone to die back.,Arabica,Bourbon-Typica group (Typica related),"A selection of BMJ (Blue Mountain Jamaica) in Rwanda, related to but distinct from Typica.",Rwanda Agricultural Board (RAB),45
RAB C15,High yielding tall variety resistant to rust and coffee berry disease recently released in Rwanda. ,Tall,Green or Bronze,Large,Very High,Very Good,"Medium , High",Resistant,Unknown,Resistant,Year 2,High,Unknown,Average,2000-3000 plants/ha (using multiple-stem pruning),Vigorous.,Arabica,Introgressed (Other),A selection of the Indian variety Sln.6 (Kent x C. robusta). A population composite variety.,Rwanda Agricultural Board (RAB),46
Ruiru 11,"High-yielding, Dwarf/Compact hybrid tolerant to coffee leaf rust and resistant to coffee berry disease (CBD). Released in Kenya. ",Dwarf/Compact,Green or Bronze,Large,Very High,Good,"Low , Medium , High",Tolerant,Susceptible,Resistant,Year 2,High,Average,Average,2000-3000 plants/ha (using multiple-stem pruning),,Arabica,F1 hybrid (introgressed),,"Coffee Research Foundation (now Kenya Agricultural and Livestock Research Organization, KALRO)",47
SL14,A high-yielding tall variety with drought and cold tolerance. Found mostly in Kenya and Uganda. ,Tall,Light Bronze,Average,High,Good,"Medium , High",Susceptible,Susceptible,Susceptible,Year 3,Low,Unknown,Average,1000-2000 plants/ha (using single-stem pruning),Drought and cold tolerant.,Arabica,Bourbon-Typica group (Typica related),Typica-like genetic background.,Scott Agricultural Laboratories,48
SL28,"Drought tolerant and very good cup quality potential, but susceptible to major diseases. Found commonly in Kenya, Malawi, Uganda, Zimbabwe. ",Tall,Green,Large,Very High,Exceptional,"Medium , High",Susceptible,Susceptible,Susceptible,Year 3,Low,Unknown,High,1000-2000 plants/ha (using single-stem pruning),,Arabica,Bourbon-Typica group (Bourbon related),"Selection of ""Tanganika Drought Resistant."" Bourbon-like genetic background.",Scott Agricultural Laboratories,49
SL34,Exceptional cup quality but highly susceptible to coffee berry disease. Found mostly in Kenya. ,Tall,Dark Bronze,Large,High,Exceptional,"Medium , High",Susceptible,Susceptible,Susceptible,Year 3,Medium,Unknown,High,1000-2000 plants/ha (using single-stem pruning),,Arabica,Bourbon-Typica group (Typica related),Typica-like genetic background.,Scott Agricultural Laboratories,50
Starmaya,High yielding plant adapted to medium altitudes. Notably high acidity in the cup. ,Dwarf/Compact,Green,Large,High,Very Good,Medium,Resistant,Unknown,Unknown,Year 2,Medium,Average,High,4000-5000 plants/ha (using single-stem pruning),,Arabica,F1 hybrid (introgressed),Marsallesa x wild Ethiopian/Sudanese natural mutant,CIRAD-ECOM,51
T5175,High-yielding plant adapted to lowest altitudes. Requires high fertilization. Variety not uniform. ,Dwarf/Compact,Dark Bronze,Average,High,Very Low,"Low , Medium",Resistant,Susceptible,Susceptible,Year 2,Very High,Average,Low,4000-5000 plants/ha (using single-stem pruning),,Arabica,Introgressed (Catimor related),Timor Hybrid 832/1 x Caturra,Instituto del Cafe_ de Costa Rica (ICAFE) ,52
T5296,Well-adapted to medium altitudes. Variety not uniform.,Dwarf/Compact,Green,Large,Good,Good,"Low , Medium",Resistant,Unknown,Tolerant,Year 3,High,Average,High,5000-6000 plants/ha (using single-stem pruning),,Arabica,Introgressed (Sarchimor related),Timor Hybrid CIFC 832/2 x Villa Sarchi,-,53
T8667,"High-yielding variety, resistant to rust, and adapted to warmest zones and acidic soils. ",Dwarf/Compact,Bronze,Average,High,Low,"Low , Medium",Resistant,Susceptible,Susceptible,Year 3,High,Average,Low,5000-6000 plants/ha (using single-stem pruning),,Arabica,Introgressed (Catimor related),Timor Hybrid 832/1 x Caturra,None,54
Tekisic,"A variety selected in El Salvador, and known for very good cup quality in the highest altitudes. ",Tall,Green,Average,Medium,Very Good,High,Susceptible,Susceptible,Susceptible,Year 4,Medium,Early,Average,3000-4000 plants/ha (using single-stem pruning),-,Arabica,Bourbon-Typica group (Bourbon related),A selection of the Bourbon variety,Instituto Salvadoreño de Investigaciones del Café (ISIC),55
Typica,"One of the most culturally and genetically important C. arabica coffees in the world, with high quality in Central America. Very high susceptibility to coffee leaf rust, well-adapted to the coldest conditions. ",Tall,Bronze,Large,Low,Very Good,High,Susceptible,Susceptible,Susceptible,Year 4,Medium,Average,Average,3000-4000 plants/ha (using single-stem pruning),-,Arabica,Bourbon-Typica group (Typica related),,None,56
Venecia,Very high susceptibility to coffee leaf rust. Well-adapted to rainy zones due to late harvest during dry season. ,Dwarf/Compact,Green,Large,Good,Good,"Medium , High",Susceptible,Susceptible,Susceptible,Year 3,High,Late,Average,5000-6000 plants/ha (using single-stem pruning),-,Arabica,Bourbon-Typica group (Bourbon related),A natural mutation of Bourbon,Instituto del Cafe_ de Costa Rica (ICAFE) ,57
Villa Sarchi ,Well-adpated to highest altitude conditions and tolerant of strong winds. ,Dwarf/Compact,Green,Below average,Good,Good,High,Susceptible,Susceptible,Susceptible,Year 3,High,Average,Average,5000-6000 plants/ha (using single-stem pruning),Well-adpated to highest altitude conditions and tolerant of strong winds. ,Arabica,Bourbon-Typica group (Bourbon related),A natural mutation of Bourbon,Instituto del Cafe_ de Costa Rica (ICAFE) ,58